SiO2,P2O5,ZrO2,Na2O,Al2O3,Fe2O3,CaO,MgO,K2O,B2O3,BaO,ZnO,Li2O,SrO,La2O3,TiO2,Nb2O5,PbO,Sb2O3,Bi2O3,TeO2,Se,Tg
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,723.15
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.15
0.695,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,693.15
0.695,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,683.15
0.695,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,663.15
0.695,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,683.15
0.695,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.15
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,718.15
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,728.15
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,738.15
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,753.15
0.4965496549654966,0.0,0.0,0.0,0.041004100410041,0.0,0.025002500250025,0.0,0.0,0.2222222222222222,0.2002200220022002,0.015001500150015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.15
0.4965,0.0,0.0,0.0,0.0409999999999999,0.0,0.025,0.0,0.0,0.2221999999999999,0.1502,0.015,0.0501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.15
0.4965496549654964,0.0,0.0,0.0,0.0410041004100409,0.0,0.025002500250025,0.0,0.0,0.2222222222222221,0.1001100110011001,0.015001500150015,0.1001100110011001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.15
0.4965,0.0,0.0,0.0,0.0409999999999999,0.0,0.025,0.0,0.0,0.2221999999999999,0.0501,0.015,0.1502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.15
0.4965496549654966,0.0,0.0,0.0,0.041004100410041,0.0,0.025002500250025,0.0,0.0,0.2222222222222222,0.0,0.015001500150015,0.2002200220022002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.15
0.4965,0.0,0.0,0.0501,0.041,0.0,0.025,0.0,0.0,0.2222,0.1502,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.15
0.4965496549654966,0.0,0.0,0.1001100110011001,0.041004100410041,0.0,0.025002500250025,0.0,0.0,0.2222222222222222,0.1001100110011001,0.015001500150015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.15
0.4965,0.0,0.0,0.1502,0.0409999999999999,0.0,0.025,0.0,0.0,0.2221999999999999,0.0501,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.15
0.4965496549654966,0.0,0.0,0.2002200220022002,0.041004100410041,0.0,0.025002500250025,0.0,0.0,0.2222222222222222,0.0,0.015001500150015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.15
0.4965,0.0,0.0,0.0,0.041,0.0,0.025,0.0,0.0501,0.2222,0.1502,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.15
0.4965496549654964,0.0,0.0,0.0,0.0410041004100409,0.0,0.025002500250025,0.0,0.1001100110011001,0.2222222222222221,0.1001100110011001,0.015001500150015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.15
0.4965,0.0,0.0,0.0,0.0409999999999999,0.0,0.025,0.0,0.1502,0.2221999999999999,0.0501,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.15
0.4965496549654966,0.0,0.0,0.0,0.041004100410041,0.0,0.025002500250025,0.0,0.2002200220022002,0.2222222222222222,0.0,0.015001500150015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.15
0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.15
0.65,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.15
0.5670000000000001,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.15
0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.15
0.667,0.0,0.0,0.1169999999999999,0.0,0.0,0.0,0.0,0.0,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.15
0.68,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.15
0.75,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.15
0.7160000000000001,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.15
